Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Weight(kg)
TOYOTA,HIGHLANDER HYBRID,V6,"3,456 ",240,220,8.2,"40,400 ",Hybrid,7,350,2400
TOYOTA,LAND CRUISER PRADO,V6,"3,956 ",282,200,7.2,"49,400 ",Petrol/Diesel,7,450,2200
TOYOTA,TUNDRA HYBRID,V6,"3,456 ",344,220,6.2,"43,400 ",Hybrid,5,650,2350
TOYOTA,YARIS,I4,"1,496 ",106,180,11.2,"18,400 ",Petrol,5,150,1150
TOYOTA,HR,I4,"1,986 ",144,200,10.2,"24,400 ",Petrol/Hybrid,5,250,1550
TOYOTA,BZ4X,ELECTRIC,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",218,200,7.5,"43,400 ",Electric,5,330,1300
TOYOTA,CROWN,HYBRID,"2,494 ",236,200,7.6,"38,400 ",Hybrid,5,400,1650
TOYOTA,MR2,I4,"1,986 ",168,200,6.9,"29,000 ",Petrol,2,400,1200
TOYOTA,CELICA,I4,"1,986 ",140,200,8.5,"25,000 ",Petrol,5,250,1350
HONDA,CITY,I4,"1,497 ",119,180,10.2,"15,400 ",Petrol/Hybrid,5,145,1350
HONDA,CIVIC,I4,"1,996 ",158,200,8.5,"20,400 ",Petrol,5,400,1350
HYUNDAI,I10,"1.2L,CYLINDER,4(I4),1","197 """,87,160,12.2,"12,400 ",Petrol,5,120,1050
HYUNDAI,I20,"1.4L,CYLINDER,4(I4),1","396 """,99,180,10.5,"15,400 ",Petrol/Hybrid,5,250,1050
HYUNDAI,ELANTRA,"2.0L,CYLINDER,4(I4),1","999 """,147,200,9.5,"18,400 ",Petrol/Hybrid,5,250,1250
MAHINDRA,XUV500,"2.2L,CYLINDER,4(I4),2","179 """,155,180,10.5,"18,400 ",Diesel,7,400,1650
MAHINDRA,SCORPIO,"2.2L,CYLINDER,4(I4),2","179 """,140,160,11.2,"16,400 ",Diesel,7,280,1650
MAHINDRA,THAR,"2.0L,CYLINDER,4(I4),1","997 """,150,180,10.5,"20,400 ",Petrol/Diesel,4,320,1450
MARUTI SUZUKI,SWIFT,"1.2L,CYLINDER,4(I4),1","197 """,83,160,12.2,"10,400 ",Petrol,5,113,1050
MARUTI SUZUKI,DZIRE,"1.2L,CYLINDER,4(I4),1","197 """,83,160,12.2,"11,400 ",Petrol/Diesel,5,113,1050
MARUTI SUZUKI,BREZZA,"1.5L,CYLINDER,INLINE(I4)","1,462 ",103,180,11.5,"14,400 ",Petrol,5,200,1500
TOYOTA,PRIUS PRIME,"2.0L,CYLINDER,WITH HYBRID SYSTEM","1,998 ",220,180,6.7,"31,100 ",inHybrid,5,220,1500
TOYOTA,GR COROLLA,"1.6L,3,1","618 """,300,230,5. 0,"36,995 ",Petrol,5,370,1000
TOYOTA,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL","3,346 ",305,210,6.8,"58,500 ",Petrol/Diesel,7,650,2200
TOYOTA,FORCEMAX,"3.5L,V6,TURBO,3","445 """,437,180,6.2,"56,000 ",Hybrid,5,750,1200
TOYOTA,COROLLA HATCHBACK XSE,"2.0L,4,1","987 """,169,190,8.2,"25,390 ",Petrol,5,250,1050
TOYOTA,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",1.24 kwh,152,180,9.0,"49,500 ",Hydrogen,5,335,1050
TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL","2,755 ",224,170,10.0,"50,000 ",Petrol/Diesel,5,500,2150
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,4,HYBRID,OR 3.5L,V6","HYBRID(2,494 ),V6(3,456 )",296,180,8.5,"60,000 ",Petrol,7,400,1650
TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL","2,755 ",204,175,10.5,"55,000 ",Diesel/Petrol,7,500,2150
TOYOTA,INNOVA HYCROSS,2.0L HYBRID,"1,987 ",184,165,9.5,"40,000 ",Hybrid,7,250,2050
TOYOTA,COASTER,"4.0L,DIESEL","4,009 ",134,120,N/A,"70,000 ",Diesel,20,500,1950
TOYOTA,URBAN CRUISER TAISOR,"1.5L,HYBRID","1,490 ",114,170,11,"25,000 ",Petrol,5,130,1150
TOYOTA,AYGO X,"1.0L,3,998,71,160,14.8,18","000 """,Petrol,4,93,,,,,1850
TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL","2,755 ",204,175,10.0,"50,000 ",Diesel,5,500,2150
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75 KWH,136,130,13.5,"55,000 ",Electric,7,280,1500
